	Event	Transcript Name	Link
	WWDC23	Bring widgets to new places	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10027/eng_fcf52c09fff5/wwdc2023-10027-transcript-eng.json
	WWDC23	Bring your game to Mac, Part 1: Make a game plan	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10123/eng_bc974ca49b7f/wwdc2023-10123-transcript-eng.json
	WWDC23	Bring your game to Mac, Part 2: Compile your shaders	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10124/eng_bb87d325cd70/wwdc2023-10124-transcript-eng.json
	WWDC23	Bring your game to Mac, Part 3: Render with Metal	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10125/eng_cb91d8a284c9/wwdc2023-10125-transcript-eng.json
	WWDC23	Build custom workouts with WorkoutKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10016/eng_705d56d29ffb/wwdc2023-10016-transcript-eng.json
	WWDC23	Build great games for spatial computing	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10096/eng_b3eb580c47c7/wwdc2023-10096-transcript-eng.json
	WWDC23	Build spatial experiences with RealityKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10080/eng_8745fc3b07b7/wwdc2023-10080-transcript-eng.json
	WWDC23	Create a great ShazamKit experience	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10051/eng_5c4a6112dd4d/wwdc2023-10051-transcript-eng.json
	WWDC23	Create accessible spatial experiences	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10034/eng_42de8370468c/wwdc2023-10034-transcript-eng.json
	WWDC23	Create rich documentation with Swift-DocC	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10244/eng_fa80f83f0f00/wwdc2023-10244-transcript-eng.json
	WWDC23	Debug with structured logging	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10226/eng_a54e0913e701/wwdc2023-10226-transcript-eng.json
	WWDC23	Design and build apps for watchOS 10	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10138/eng_705643f229f7/wwdc2023-10138-transcript-eng.json
	WWDC23	Design for spatial input	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10073/eng_8de59b66ef83/wwdc2023-10073-transcript-eng.json
	WWDC23	Design for spatial user interfaces	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10076/eng_2f1dcc5a7084/wwdc2023-10076-transcript-eng.json
	WWDC23	Design spatial SharePlay experiences	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10075/eng_52127a4d703e/wwdc2023-10075-transcript-eng.json
	WWDC23	Detect animal poses in Vision	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10045/eng_1a34f6bda3d5/wwdc2023-10045-transcript-eng.json
	WWDC23	Develop your first immersive app	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2023/wwdc2023-10203/eng_d8407db2603e/wwdc2023-10203-transcript-eng.json
